Common name,Scientific name,No.,No. Back
Piratic Flycatcher,Legatus leucophaius,333,585
White-bearded Flycatcher,Phelpsia inornata,12,0
Rusty-margined Flycatcher,Myiozetetes cayanensis,247,336
Social Flycatcher,Myiozetetes similis,434,590
Grey-capped Flycatcher,Myiozetetes granadensis,110,101
Dusky-chested Flycatcher,Myiozetetes luteiventris,77,36
Great Kiskadee,Pitangus sulphuratus,681,2632
Lesser Kiskadee,Philohydor lictor,124,22
White-ringed Flycatcher,Conopias albovittatus,37,17
Yellow-throated Flycatcher,Conopias parvus,89,34
Three-striped Flycatcher,Conopias trivirgatus,71,12
Lemon-browed Flycatcher,Conopias cinchoneti,50,16
Golden-bellied Flycatcher,Myiodynastes hemichrysus,11,2
Golden-crowned Flycatcher,Myiodynastes chrysocephalus,180,32
Baird's Flycatcher,Myiodynastes bairdii,36,4
Sulphur-bellied Flycatcher,Myiodynastes luteiventris,204,272
Streaked Flycatcher,Myiodynastes maculatus,368,282
Boat-billed Flycatcher,Megarynchus pitangua,467,380
Sulphury Flycatcher,Tyrannopsis sulphurea,106,13
Variegated Flycatcher,Empidonomus varius,104,25
Crowned Slaty Flycatcher,Griseotyrannus aurantioatrocristatus,68,3
Snowy-throated Kingbird,Tyrannus niveigularis,25,4
White-throated Kingbird,Tyrannus albogularis,40,18
Tropical Kingbird,Tyrannus melancholicus,523,972
Couch's Kingbird,Tyrannus couchii,81,46
Cassin's Kingbird,Tyrannus vociferans,262,542
Thick-billed Kingbird,Tyrannus crassirostris,144,375
Western Kingbird,Tyrannus verticalis,140,236
Scissor-tailed Flycatcher,Tyrannus forficatus,40,20
Fork-tailed Flycatcher,Tyrannus savana,82,24
Eastern Kingbird,Tyrannus tyrannus,135,207
Grey Kingbird,Tyrannus dominicensis,89,74
Giant Kingbird,Tyrannus cubensis,6,2
Loggerhead Kingbird,Tyrannus caudifasciatus,23,5
Greyish Mourner,Rhytipterna simplex,189,242
Pale-bellied Mourner,Rhytipterna immunda,26,0
Rufous Mourner,Rhytipterna holerythra,54,36
Sibilant Sirystes,Sirystes sibilator,134,115
White-rumped Sirystes,Sirystes albocinereus,36,21
Todd's Sirystes,Sirystes subcanescens,16,5
Choco Sirystes,Sirystes albogriseus,13,6
Rufous Casiornis,Casiornis rufus,69,36
Ash-throated Casiornis,Casiornis fuscus,10,0
Rufous Flycatcher,Myiarchus semirufus,5,2
Yucatan Flycatcher,Myiarchus yucatanensis,14,4
Sad Flycatcher,Myiarchus barbirostris,6,1
Dusky-capped Flycatcher,Myiarchus tuberculifer,479,698
Swainson's Flycatcher,Myiarchus swainsoni,178,79
Venezuelan Flycatcher,Myiarchus venezuelensis,6,3
Panamanian Flycatcher,Myiarchus panamensis,13,13
Short-crested Flycatcher,Myiarchus ferox,225,171
Apical Flycatcher,Myiarchus apicalis,38,8
Pale-edged Flycatcher,Myiarchus cephalotes,67,25
Sooty-crowned Flycatcher,Myiarchus phaeocephalus,15,2
Ash-throated Flycatcher,Myiarchus cinerascens,289,532
Nutting's Flycatcher,Myiarchus nuttingi,170,123
Great Crested Flycatcher,Myiarchus crinitus,302,295
Brown-crested Flycatcher,Myiarchus tyrannulus,635,1368
Galapagos Flycatcher,Myiarchus magnirostris,7,0
Grenada Flycatcher,Myiarchus nugator,1,0
Rufous-tailed Flycatcher,Myiarchus validus,5,0
La Sagra's Flycatcher,Myiarchus sagrae,22,7
Stolid Flycatcher,Myiarchus stolidus,7,2
Puerto Rican Flycatcher,Myiarchus antillarum,8,3
Lesser Antillean Flycatcher,Myiarchus oberi,3,0
Large-headed Flatbill,Ramphotrigon megacephalum,142,213
Flammulated Flycatcher,Ramphotrigon flammulatum,34,4
Rufous-tailed Flatbill,Ramphotrigon ruficauda,137,76
Dusky-tailed Flatbill,Ramphotrigon fuscicauda,72,60
Rufous-tailed Attila,Attila phoenicurus,73,141
Cinnamon Attila,Attila cinnamomeus,163,122
Ochraceous Attila,Attila torridus,49,12
Citron-bellied Attila,Attila citriniventris,114,40
White-eyed Attila,Attila bolivianus,92,99
Grey-hooded Attila,Attila rufus,149,198
Bright-rumped Attila,Attila spadiceus,470,567
Scaled Fruiteater,Ampelioides tschudii,48,6
Fiery-throated Fruiteater,Pipreola chlorolepidota,18,0
Scarlet-breasted Fruiteater,Pipreola frontalis,21,1
Handsome Fruiteater,Pipreola formosa,7,0
Red-banded Fruiteater,Pipreola whitelyi,13,1
Black-chested Fruiteater,Pipreola lubomirskii,14,1
Orange-breasted Fruiteater,Pipreola jucunda,38,5
Masked Fruiteater,Pipreola pulchra,9,1
Golden-breasted Fruiteater,Pipreola aureopectus,46,9
Barred Fruiteater,Pipreola arcuata,72,23
Band-tailed Fruiteater,Pipreola intermedia,19,3
Green-and-black Fruiteater,Pipreola riefferii,139,22
Grey-tailed Piha,Snowornis subalaris,29,5
Olivaceous Piha,Snowornis cryptolophus,5,0
Hooded Berryeater,Carpornis cucullata,74,367
Black-headed Berryeater,Carpornis melanocephala,29,17
Andean Cock-of-the-rock,Rupicola peruvianus,150,23
Guianan Cock-of-the-rock,Rupicola rupicola,58,3
Guianan Red Cotinga,Phoenicircus carnifex,37,10
Black-necked Red Cotinga,Phoenicircus nigricollis,37,1
White-cheeked Cotinga,Zaratornis stresemanni,4,0
Rufous-tailed Plantcutter,Phytotoma rara,22,3
Peruvian Plantcutter,Phytotoma raimondii,26,1
White-tipped Plantcutter,Phytotoma rutila,57,30
Swallow-tailed Cotinga,Phibalura flavirostris,4,0
Palkachupa Cotinga,Phibalura boliviana,2,0
Bay-vented Cotinga,Doliornis sclateri,11,0
Chestnut-bellied Cotinga,Doliornis remseni,8,0
Red-crested Cotinga,Ampelion rubrocristatus,36,6
Chestnut-crested Cotinga,Ampelion rufaxilla,23,3
Crimson Fruitcrow,Haematoderus militaris,4,0
Purple-throated Fruitcrow,Querula purpurata,167,279
Red-ruffed Fruitcrow,Pyroderus scutatus,53,10
Bare-necked Umbrellabird,Cephalopterus glabricollis,2,0
Long-wattled Umbrellabird,Cephalopterus penduliger,18,1
Amazonian Umbrellabird,Cephalopterus ornatus,14,3
Capuchinbird,Perissocephalus tricolor,57,9
Rufous Piha,Lipaugus unirufus,84,30
Rose-collared Piha,Lipaugus streptophorus,7,0
Screaming Piha,Lipaugus vociferans,393,1325
Cinnamon-vented Piha,Lipaugus lanioides,50,54
Black-and-gold Cotinga,Lipaugus ater,67,94
Grey-winged Cotinga,Lipaugus conditus,9,3
Chestnut-capped Piha,Lipaugus weberi,36,1
Dusky Piha,Lipaugus fuscocinereus,29,7
Scimitar-winged Piha,Lipaugus uropygialis,4,0
White Bellbird,Procnias albus,51,47
Three-wattled Bellbird,Procnias tricarunculatus,82,32
Bare-throated Bellbird,Procnias nudicollis,157,638
Bearded Bellbird,Procnias averano,82,81
Plum-throated Cotinga,Cotinga maynana,8,1
Spangled Cotinga,Cotinga cayana,10,0
Lovely Cotinga,Cotinga amabilis,3,0
Blue Cotinga,Cotinga nattererii,4,0
Turquoise Cotinga,Cotinga ridgwayi,5,0
Banded Cotinga,Cotinga maculata,3,0
Purple-breasted Cotinga,Cotinga cotinga,1,0
Purple-throated Cotinga,Porphyrolaema porphyrolaema,6,1
Black-faced Cotinga,Conioptilon mcilhennyi,36,24
Bare-necked Fruitcrow,Gymnoderus foetidus,1,0
Pompadour Cotinga,Xipholena punicea,51,10
White-tailed Cotinga,Xipholena lamellipennis,12,2
White-winged Cotinga,Xipholena atropurpurea,16,0
Black-tipped Cotinga,Carpodectes hopkei,2,0
Snowy Cotinga,Carpodectes nitidus,1,0
Dwarf Tyrant-Manakin,Tyranneutes stolzmanni,189,342
Tiny Tyrant-Manakin,Tyranneutes virescens,35,34
Saffron-crested Tyrant-Manakin,Neopelma chrysocephalum,109,15
Sulphur-bellied Tyrant-Manakin,Neopelma sulphureiventer,43,12
Pale-bellied Tyrant-Manakin,Neopelma pallescens,74,33
Wied's Tyrant-Manakin,Neopelma aurifrons,28,1
Serra do Mar Tyrant-Manakin,Neopelma chrysolophum,41,7
Yellow-headed Manakin,Chloropipo flavicapilla,18,0
Jet Manakin,Chloropipo unicolor,7,0
Araripe Manakin,Antilophia bokermanni,58,1
Helmeted Manakin,Antilophia galeata,105,40
Long-tailed Manakin,Chiroxiphia linearis,117,98
Lance-tailed Manakin,Chiroxiphia lanceolata,101,57
Blue-backed Manakin,Chiroxiphia pareola,237,142
Yungas Manakin,Chiroxiphia boliviana,75,121
Blue Manakin,Chiroxiphia caudata,287,782
Pin-tailed Manakin,Ilicura militaris,89,51
Golden-winged Manakin,Masius chrysopterus,24,3
White-throated Manakin,Corapipo gutturalis,24,5
White-ruffed Manakin,Corapipo altera,29,1
White-bibbed Manakin,Corapipo leucorrhoa,5,0
Olive Manakin,Xenopipo uniformis,7,0
Black Manakin,Xenopipo atronitens,26,3
Green Manakin,Cryptopipo holochlora,18,0
Blue-crowned Manakin,Lepidothrix coronata,176,105
Snow-capped Manakin,Lepidothrix nattereri,44,13
Golden-crowned Manakin,Lepidothrix vilasboasi,7,0
Opal-crowned Manakin,Lepidothrix iris,24,2
Orange-bellied Manakin,Lepidothrix suavissima,16,1
White-fronted Manakin,Lepidothrix serena,39,7
Blue-rumped Manakin,Lepidothrix isidorei,56,7
Cerulean-capped Manakin,Lepidothrix coeruleocapilla,8,1
Orange-crested Manakin,Heterocercus aurantiivertex,36,3
Yellow-crested Manakin,Heterocercus flavivertex,17,1
Flame-crested Manakin,Heterocercus linteatus,16,1
White-bearded Manakin,Manacus manacus,309,141
White-collared Manakin,Manacus candei,67,17
Golden-collared Manakin,Manacus vitellinus,74,52
Orange-collared Manakin,Manacus aurantiacus,48,3
Crimson-hooded Manakin,Pipra aureola,25,0
Wire-tailed Manakin,Pipra filicauda,25,8
Band-tailed Manakin,Pipra fasciicauda,86,69
Club-winged Manakin,Machaeropterus deliciosus,72,31
Kinglet Manakin,Machaeropterus regulus,36,6
Striolated Manakin,Machaeropterus striolatus,79,18
Painted Manakin,Machaeropterus eckelberryi,12,0
Fiery-capped Manakin,Machaeropterus pyrocephalus,63,137
White-crowned Manakin,Pseudopipra pipra,127,21
Scarlet-horned Manakin,Ceratopipra cornuta,18,1
Red-capped Manakin,Ceratopipra mentalis,96,40
Round-tailed Manakin,Ceratopipra chloromeros,25,26
Golden-headed Manakin,Ceratopipra erythrocephala,159,38
Red-headed Manakin,Ceratopipra rubrocapilla,122,88
Sharpbill,Oxyruncus cristatus,80,30
Amazonian Royal Flycatcher,Onychorhynchus coronatus,53,8
Northern Royal Flycatcher,Onychorhynchus mexicanus,19,4
Pacific Royal Flycatcher,Onychorhynchus occidentalis,4,3
Atlantic Royal Flycatcher,Onychorhynchus swainsoni,21,1
Tawny-breasted Myiobius,Myiobius villosus,9,0
Sulphur-rumped Myiobius,Myiobius sulphureipygius,18,0
Whiskered Myiobius,Myiobius barbatus,43,5
Black-tailed Myiobius,Myiobius atricaudus,29,4
Ruddy-tailed Flycatcher,Terenotriccus erythrurus,82,24
Black-crowned Tityra,Tityra inquisitor,39,3
Black-tailed Tityra,Tityra cayana,88,26
Masked Tityra,Tityra semifasciata,122,80
Varzea Schiffornis,Schiffornis major,63,36
Guianan Schiffornis,Schiffornis olivacea,25,10
Northern Schiffornis,Schiffornis veraepacis,101,18
Foothill Schiffornis,Schiffornis aenea,35,10
Russet-winged Schiffornis,Schiffornis stenorhyncha,29,11
Brown-winged Schiffornis,Schiffornis turdina,130,43
Greenish Schiffornis,Schiffornis virescens,140,181
Speckled Mourner,Laniocera rufescens,22,6
Cinereous Mourner,Laniocera hypopyrra,110,22
Buff-throated Purpletuft,Iodopleura pipra,36,6
Dusky Purpletuft,Iodopleura fusca,19,0
White-browed Purpletuft,Iodopleura isabellae,33,3
Brazilian Laniisoma,Laniisoma elegans,37,2
Andean Laniisoma,Laniisoma buckleyi,25,0
White-naped Xenopsaris,Xenopsaris albinucha,47,6
Green-backed Becard,Pachyramphus viridis,111,25
Yellow-cheeked Becard,Pachyramphus xanthogenys,25,5
Barred Becard,Pachyramphus versicolor,58,18
Slaty Becard,Pachyramphus spodiurus,13,0
Cinereous Becard,Pachyramphus rufus,47,6
Chestnut-crowned Becard,Pachyramphus castaneus,129,97
Cinnamon Becard,Pachyramphus cinnamomeus,89,58
White-winged Becard,Pachyramphus polychopterus,277,340
Black-capped Becard,Pachyramphus marginatus,100,94
Black-and-white Becard,Pachyramphus albogriseus,49,8
Grey-collared Becard,Pachyramphus major,28,11
Glossy-backed Becard,Pachyramphus surinamus,19,3
One-colored Becard,Pachyramphus homochrous,22,3
Pink-throated Becard,Pachyramphus minor,59,51
Crested Becard,Pachyramphus validus,80,22
Rose-throated Becard,Pachyramphus aglaiae,106,139
Jamaican Becard,Pachyramphus niger,9,0
Albert's Lyrebird,Menura alberti,24,12
Superb Lyrebird,Menura novaehollandiae,79,84
Rufous Scrubbird,Atrichornis rufescens,52,3
Noisy Scrubbird,Atrichornis clamosus,15,2
Ochre-breasted Catbird,Ailuroedus stonii,3,1
Tan-capped Catbird,Ailuroedus geislerorum,11,6
Green Catbird,Ailuroedus crassirostris,32,17
Spotted Catbird,Ailuroedus maculosus,62,55
Huon Catbird,Ailuroedus astigmaticus,1,0
Black-capped Catbird,Ailuroedus melanocephalus,1,0
Northern Catbird,Ailuroedus jobiensis,1,2
Arfak Catbird,Ailuroedus arfakianus,7,1
Black-eared Catbird,Ailuroedus melanotis,12,2
Tooth-billed Bowerbird,Scenopoeetes dentirostris,67,4
Archbold's Bowerbird,Archboldia papuensis,11,0
Vogelkop Bowerbird,Amblyornis inornata,15,2
MacGregor's Bowerbird,Amblyornis macgregoriae,8,0
Streaked Bowerbird,Amblyornis subalaris,1,0
Golden Bowerbird,Prionodura newtoniana,14,0
Masked Bowerbird,Sericulus aureus,3,0
Flame Bowerbird,Sericulus ardens,5,0
Fire-maned Bowerbird,Sericulus bakeri,1,0
Regent Bowerbird,Sericulus chrysocephalus,7,0
Satin Bowerbird,Ptilonorhynchus violaceus,70,48
Western Bowerbird,Chlamydera guttata,9,1
Great Bowerbird,Chlamydera nuchalis,33,8
Spotted Bowerbird,Chlamydera maculata,21,5
Yellow-breasted Bowerbird,Chlamydera lauterbachi,2,0
Fawn-breasted Bowerbird,Chlamydera cerviniventris,8,1
White-throated Treecreeper,Cormobates leucophaea,118,108
Papuan Treecreeper,Cormobates placens,19,6
Red-browed Treecreeper,Climacteris erythrops,8,1
White-browed Treecreeper,Climacteris affinis,12,1
Rufous Treecreeper,Climacteris rufus,10,5
Brown Treecreeper,Climacteris picumnus,44,23
Black-tailed Treecreeper,Climacteris melanurus,14,20
Wallace's Fairywren,Sipodotus wallacii,6,0
Emperor Fairywren,Malurus cyanocephalus,31,2
Lovely Fairywren,Malurus amabilis,11,3
Purple-backed Fairywren,Malurus assimilis,34,12
Variegated Fairywren,Malurus lamberti,29,7
Blue-breasted Fairywren,Malurus pulcherrimus,7,0
Red-winged Fairywren,Malurus elegans,10,1
Superb Fairywren,Malurus cyaneus,75,133
Splendid Fairywren,Malurus splendens,36,23
Purple-crowned Fairywren,Malurus coronatus,7,0
White-shouldered Fairywren,Malurus alboscapulatus,10,0
Red-backed Fairywren,Malurus melanocephalus,36,16
White-winged Fairywren,Malurus leucopterus,26,10
Orange-crowned Fairywren,Clytomyias insignis,11,0
Southern Emu-wren,Stipiturus malachurus,32,1
Mallee Emu-wren,Stipiturus mallee,12,2
Rufous-crowned Emu-wren,Stipiturus ruficeps,3,0
Grey Grasswren,Amytornis barbatus,2,0
Black Grasswren,Amytornis housei,1,0
White-throated Grasswren,Amytornis woodwardi,1,0
Carpentarian Grasswren,Amytornis dorotheae,3,0
Short-tailed Grasswren,Amytornis merrotsyi,6,0
Rufous Grasswren,Amytornis whitei,3,1
Opalton Grasswren,Amytornis rowleyi,1,0
Striated Grasswren,Amytornis striatus,20,0
Eyrean Grasswren,Amytornis goyderi,13,0
Western Grasswren,Amytornis textilis,3,0
Thick-billed Grasswren,Amytornis modestus,1,0
Dusky Grasswren,Amytornis purnelli,11,1
Kalkadoon Grasswren,Amytornis ballarae,3,0
Dark-eared Myza,Myza celebensis,6,0
White-eared Myza,Myza sarasinorum,20,7
Eastern Spinebill,Acanthorhynchus tenuirostris,52,73
Western Spinebill,Acanthorhynchus superciliosus,6,0
Green-backed Honeyeater,Glycichaera fallax,3,0
Sooty Honeyeater,Melionyx fuscus,2,0
Yellowish-streaked Honeyeater,Ptiloprora meekiana,3,0
Rufous-sided Honeyeater,Ptiloprora erythropleura,2,0
Rufous-backed Honeyeater,Ptiloprora guisei,9,1
Grey-streaked Honeyeater,Ptiloprora perstriata,25,3
Crimson Chat,Epthianura tricolor,33,9
Orange Chat,Epthianura aurifrons,7,0
Yellow Chat,Epthianura crocea,9,0
White-fronted Chat,Epthianura albifrons,15,0
Bougainville Honeyeater,Stresemannia bougainvillei,2,0
Rufous-banded Honeyeater,Conopophila albogularis,40,27
Rufous-throated Honeyeater,Conopophila rufogularis,13,6
Grey Honeyeater,Conopophila whitei,8,0
Bar-breasted Honeyeater,Ramsayornis fasciatus,17,10
Brown-backed Honeyeater,Ramsayornis modestus,24,6
Long-billed Honeyeater,Melilestes megarhynchus,20,4
Tawny Straightbill,Timeliopsis griseigula,2,0
Arfak Honeyeater,Melipotes gymnops,2,0
Common Smoky Honeyeater,Melipotes fumigatus,12,2
Spangled Honeyeater,Melipotes ater,2,0
MacGregor's Honeyeater,Macgregoria pulchra,2,0
Barred Honeyeater,Glycifohia undulata,8,0
White-bellied Honeyeater,Glycifohia notabilis,1,1
Tawny-crowned Honeyeater,Gliciphila melanops,15,1
Plain Honeyeater,Pycnopygius ixoides,2,0
Marbled Honeyeater,Pycnopygius cinereus,3,0
Streak-headed Honeyeater,Pycnopygius stictocephalus,18,0
Pied Honeyeater,Certhionyx variegatus,26,29
Tui,Prosthemadera novaeseelandiae,106,102
New Zealand Bellbird,Anthornis melanura,71,86
Black Honeyeater,Sugomel niger,24,14
White-streaked Friarbird,Melitograis gilolensis,5,0
Drab Myzomela,Myzomela blasii,2,0
White-chinned Myzomela,Myzomela albigula,6,0
Ashy Myzomela,Myzomela cineracea,1,0
Moluccan Myzomela,Myzomela simplex,5,0
Dusky Myzomela,Myzomela obscura,40,27
Red Myzomela,Myzomela cruentata,4,0
Papuan Black Myzomela,Myzomela nigrita,1,0
Wetar Myzomela,Myzomela kuehni,1,0
Alor Myzomela,Myzomela prawiradilagae,5,0
Red-headed Myzomela,Myzomela erythrocephala,31,31
Sumba Myzomela,Myzomela dammermani,5,0
Rote Myzomela,Myzomela irianawidodoae,7,0
Mountain Myzomela,Myzomela adolphinae,3,0
Banda Myzomela,Myzomela boiei,7,0
Sulawesi Myzomela,Myzomela chloroptera,19,0
Wakolo Myzomela,Myzomela wakoloensis,2,0
Scarlet Myzomela,Myzomela sanguinolenta,61,143
New Caledonian Myzomela,Myzomela caledonica,1,0
Cardinal Myzomela,Myzomela cardinalis,32,38
Micronesian Myzomela,Myzomela rubratra,19,5
Sclater's Myzomela,Myzomela sclateri,3,1
Bismarck Black Myzomela,Myzomela pammelaena,1,0
Red-capped Myzomela,Myzomela lafargei,5,3
Crimson-rumped Myzomela,Myzomela eichhorni,3,0
Red-vested Myzomela,Myzomela malaitae,1,0
Black-headed Myzomela,Myzomela melanocephala,5,0
Sooty Myzomela,Myzomela tristrami,1,1
Sulphur-breasted Myzomela,Myzomela jugularis,13,14
Black-breasted Myzomela,Myzomela vulnerata,5,0
Red-collared Myzomela,Myzomela rosenbergii,19,1
Meyer's Friarbird,Philemon meyeri,19,2
Little Friarbird,Philemon citreogularis,101,111
Grey Friarbird,Philemon kisserensis,6,2
Timor Friarbird,Philemon inornatus,7,4
Dusky Friarbird,Philemon fuscicapillus,22,8
Seram Friarbird,Philemon subcorniculatus,7,1
Black-faced Friarbird,Philemon moluccensis,4,0
Tanimbar Friarbird,Philemon plumigenis,17,4
Helmeted Friarbird,Philemon buceroides,78,51
New Guinea Friarbird,Philemon novaeguineae,59,72
Hornbill Friarbird,Philemon yorki,44,9
New Britain Friarbird,Philemon cockerelli,2,0
Manus Friarbird,Philemon albitorques,6,3
Silver-crowned Friarbird,Philemon argenticeps,25,31
Noisy Friarbird,Philemon corniculatus,96,167
New Caledonian Friarbird,Philemon diemenensis,7,0
Spotted Honeyeater,Xanthotis polygrammus,1,1
Macleay's Honeyeater,Xanthotis macleayanus,28,14
Tawny-breasted Honeyeater,Xanthotis flaviventer,13,10
Striped Honeyeater,Plectorhyncha lanceolata,28,12
Painted Honeyeater,Grantiella picta,15,2
White-streaked Honeyeater,Trichodere cockerelli,9,0
Crescent Honeyeater,Phylidonyris pyrrhopterus,74,24
New Holland Honeyeater,Phylidonyris novaehollandiae,64,69
White-cheeked Honeyeater,Phylidonyris niger,26,11
Scaly-crowned Honeyeater,Lichmera lombokia,4,0
Olive Honeyeater,Lichmera argentauris,8,0
Indonesian Honeyeater,Lichmera limbata,23,9
Brown Honeyeater,Lichmera indistincta,159,471
Grey-eared Honeyeater,Lichmera incana,17,3
Silver-eared Honeyeater,Lichmera alboauricularis,4,0
Scaly-breasted Honeyeater,Lichmera squamata,36,64
Seram Honeyeater,Lichmera monticola,2,0
Flame-eared Honeyeater,Lichmera flavicans,8,9
Black-necklaced Honeyeater,Lichmera notabilis,3,1
Banded Honeyeater,Cissomela pectoralis,13,12
Guadalcanal Honeyeater,Guadalcanaria inexpectata,4,0
Makira Honeyeater,Meliarchus sclateri,28,7
Yellow-billed Honeyeater,Gymnomyza viridis,4,1
Giant Honeyeater,Gymnomyza brunneirostris,17,6
Mao,Gymnomyza samoensis,31,5
Crow Honeyeater,Gymnomyza aubryana,3,0
Polynesian Wattled Honeyeater,Foulehaio carunculatus,27,91
Fiji Wattled Honeyeater,Foulehaio taviunensis,5,1
Kikau,Foulehaio procerior,14,14
Kadavu Honeyeater,Meliphacator provocator,8,0
White-eared Honeyeater,Nesoptilotis leucotis,40,36
Yellow-throated Honeyeater,Nesoptilotis flavicollis,45,8
Blue-faced Honeyeater,Entomyzon cyanotis,77,43
Black-chinned Honeyeater,Melithreptus gularis,12,2
Strong-billed Honeyeater,Melithreptus validirostris,28,3
Brown-headed Honeyeater,Melithreptus brevirostris,26,13
White-throated Honeyeater,Melithreptus albogularis,93,79
White-naped Honeyeater,Melithreptus lunatus,24,25
Gilbert's Honeyeater,Melithreptus chloropsis,4,1
Black-headed Honeyeater,Melithreptus affinis,35,2
White-gaped Honeyeater,Stomiopera unicolor,50,90
Yellow Honeyeater,Stomiopera flava,20,16
Puff-backed Honeyeater,Meliphaga aruensis,4,0
Yellow-spotted Honeyeater,Meliphaga notata,47,74
Lewin's Honeyeater,Meliphaga lewinii,73,221
White-fronted Honeyeater,Purnella albifrons,37,41
Yellow-tufted Honeyeater,Lichenostomus melanops,23,6
Purple-gaped Honeyeater,Lichenostomus cratitius,6,1
Forest Honeyeater,Microptilotis montanus,1,0
Mountain Honeyeater,Microptilotis orientalis,7,0
Scrub Honeyeater,Microptilotis albonotatus,3,0
Mimic Honeyeater,Microptilotis analogus,5,1
Tagula Honeyeater,Microptilotis vicina,8,6
Graceful Honeyeater,Microptilotis gracilis,14,32
Cryptic Honeyeater,Microptilotis imitatrix,23,18
Elegant Honeyeater,Microptilotis cinereifrons,1,1
Yellow-gaped Honeyeater,Microptilotis flavirictus,3,0
White-lined Honeyeater,Territornis albilineata,11,2
Kimberley Honeyeater,Territornis fordiana,5,0
Streak-breasted Honeyeater,Territornis reticulata,8,22
Varied Honeyeater,Gavicalis versicolor,16,0
Mangrove Honeyeater,Gavicalis fasciogularis,16,0
Singing Honeyeater,Gavicalis virescens,70,61
Orange-cheeked Honeyeater,Oreornis chrysogenys,4,0
Yellow-tinted Honeyeater,Ptilotula flavescens,10,1
Fuscous Honeyeater,Ptilotula fusca,29,12
Grey-headed Honeyeater,Ptilotula keartlandi,8,1
Grey-fronted Honeyeater,Ptilotula plumula,4,4
Yellow-plumed Honeyeater,Ptilotula ornata,31,18
White-plumed Honeyeater,Ptilotula penicillata,63,148
Yellow-faced Honeyeater,Caligavis chrysops,54,118
Black-throated Honeyeater,Caligavis subfrenata,13,5
Obscure Honeyeater,Caligavis obscura,8,2
Little Wattlebird,Anthochaera chrysoptera,49,42
Western Wattlebird,Anthochaera lunulata,13,0
Red Wattlebird,Anthochaera carunculata,55,165
Yellow Wattlebird,Anthochaera paradoxa,31,7
Regent Honeyeater,Anthochaera phrygia,20,0
Spiny-cheeked Honeyeater,Acanthagenys rufogularis,83,79
Bridled Honeyeater,Bolemoreus frenatus,38,7
Eungella Honeyeater,Bolemoreus hindwoodi,9,0
Cinnamon-browed Melidectes,Melidectes ochromelas,6,1
Vogelkop Melidectes,Melidectes leucostephes,10,0
Yellow-browed Melidectes,Melidectes rufocrissalis,15,7
Huon Melidectes,Melidectes foersteri,2,0
Belford's Melidectes,Melidectes belfordi,38,33
Ornate Melidectes,Melidectes torquatus,14,0
Bell Miner,Manorina melanophrys,43,68
Noisy Miner,Manorina melanocephala,79,217
Yellow-throated Miner,Manorina flavigula,39,28
Black-eared Miner,Manorina melanotis,7,0
Eastern Bristlebird,Dasyornis brachypterus,16,1
Western Bristlebird,Dasyornis longirostris,18,1
Rufous Bristlebird,Dasyornis broadbenti,15,0
Spotted Pardalote,Pardalotus punctatus,49,105
Forty-spotted Pardalote,Pardalotus quadragintus,8,0
Red-browed Pardalote,Pardalotus rubricatus,19,5
Striated Pardalote,Pardalotus striatus,88,216
Goldenface,Pachycare flavogriseum,18,1
Fernwren,Oreoscopus gutturalis,23,5
Scrubtit,Acanthornis magna,12,1
Weebill,Smicrornis brevirostris,42,115
Striated Fieldwren,Calamanthus fuliginosus,32,1
Western Fieldwren,Calamanthus montanellus,3,0
Rufous Fieldwren,Calamanthus campestris,17,0
Chestnut-rumped Heathwren,Hylacola pyrrhopygia,10,0
Shy Heathwren,Hylacola cauta,18,2
Pilotbird,Pycnoptilus floccosus,28,4
Redthroat,Pyrrholaemus brunneus,24,2
Speckled Warbler,Pyrrholaemus sagittatus,12,0
Rockwarbler,Origma solitaria,11,0
Rusty Mouse-warbler,Origma murina,69,38
Mountain Mouse-warbler,Origma robusta,38,3
Yellow-throated Scrubwren,Neosericornis citreogularis,33,13
Bicolored Scrubwren,Aethomyias nigrorufus,7,0
Pale-billed Scrubwren,Aethomyias spilodera,3,0
Vogelkop Scrubwren,Aethomyias rufescens,3,0
Buff-faced Scrubwren,Aethomyias perspicillatus,7,1
Papuan Scrubwren,Aethomyias papuensis,28,3
Grey-green Scrubwren,Aethomyias arfakianus,4,0
Large-billed Scrubwren,Sericornis magnirostra,43,23
Tropical Scrubwren,Sericornis beccarii,9,0
Large Scrubwren,Sericornis nouhuysi,13,1
Spotted Scrubwren,Sericornis maculatus,18,1
Tasmanian Scrubwren,Sericornis humilis,51,4
Atherton Scrubwren,Sericornis keri,13,1
White-browed Scrubwren,Sericornis frontalis,61,57
Perplexing Scrubwren,Sericornis virgatus,6,1
Brown Gerygone,Gerygone mouki,45,63
Grey Gerygone,Gerygone igata,28,40
Norfolk Gerygone,Gerygone modesta,4,1
Chatham Gerygone,Gerygone albofrontata,5,1
Fan-tailed Gerygone,Gerygone flavolateralis,4,0
Rennell Gerygone,Gerygone citrina,1,0
Brown-breasted Gerygone,Gerygone ruficollis,13,10
Golden-bellied Gerygone,Gerygone sulphurea,74,31
Rufous-sided Gerygone,Gerygone dorsalis,5,3
Mangrove Gerygone,Gerygone levigaster,28,16
Plain Gerygone,Gerygone inornata,11,13
Western Gerygone,Gerygone fusca,13,12
Dusky Gerygone,Gerygone tenebrosa,3,3
Large-billed Gerygone,Gerygone magnirostris,42,16
