"species_code","common_name","scientific_name","xc_common_name","xc_scientific_name"
"chbqut1","Western Quail-thrush","Cinclosoma marginatum","Western Quail-thrush","Cinclosoma marginatum"
"ciqthr1","Cinnamon Quail-thrush","Cinclosoma cinnamomeum","Cinnamon Quail-thrush","Cinclosoma cinnamomeum"
"nulqut1","Nullarbor Quail-thrush","Cinclosoma alisteri","Nullarbor Quail-thrush","Cinclosoma alisteri"
"paqthr1","Painted Quail-thrush","Cinclosoma ajax","Painted Quail-thrush","Cinclosoma ajax"
"spjbab1","Spotted Jewel-babbler","Ptilorrhoa leucosticta","Spotted Jewel-babbler","Ptilorrhoa leucosticta"
"blujeb1","Blue Jewel-babbler","Ptilorrhoa caerulescens","Blue Jewel-babbler","Ptilorrhoa caerulescens"
"blujeb2","Dimorphic Jewel-babbler","Ptilorrhoa geislerorum","Brown-headed Jewel-babbler","Ptilorrhoa geislerorum"
"cbjbab1","Chestnut-backed Jewel-babbler","Ptilorrhoa castanonota","Chestnut-backed Jewel-babbler","Ptilorrhoa castanonota"
"whbmin3","White-bellied Minivet","Pericrocotus erythropygius","White-bellied Minivet","Pericrocotus erythropygius"
"whbmin2","Jerdon's Minivet","Pericrocotus albifrons","Jerdon's Minivet","Pericrocotus albifrons"
"fiemin1","Fiery Minivet","Pericrocotus igneus","Fiery Minivet","Pericrocotus igneus"
"smamin1","Small Minivet","Pericrocotus cinnamomeus","Small Minivet","Pericrocotus cinnamomeus"
"gycmin1","Gray-chinned Minivet","Pericrocotus solaris","Grey-chinned Minivet","Pericrocotus solaris"
"sunmin1","Sunda Minivet","Pericrocotus miniatus","Sunda Minivet","Pericrocotus miniatus"
"shbmin2","Short-billed Minivet","Pericrocotus brevirostris","Short-billed Minivet","Pericrocotus brevirostris"
"flomin1","Flores Minivet","Pericrocotus lansbergei","Little Minivet","Pericrocotus lansbergei"
"lotmin1","Long-tailed Minivet","Pericrocotus ethologus","Long-tailed Minivet","Pericrocotus ethologus"
"scamin3","Orange Minivet","Pericrocotus flammeus","Orange Minivet","Pericrocotus flammeus"
"scamin1","Scarlet Minivet","Pericrocotus speciosus","Scarlet Minivet","Pericrocotus speciosus"
"ryumin1","Ryukyu Minivet","Pericrocotus tegimae","Ryukyu Minivet","Pericrocotus tegimae"
"ashmin1","Ashy Minivet","Pericrocotus divaricatus","Ashy Minivet","Pericrocotus divaricatus"
"brrmin1","Brown-rumped Minivet","Pericrocotus cantonensis","Swinhoe's Minivet","Pericrocotus cantonensis"
"rosmin1","Rosy Minivet","Pericrocotus roseus","Rosy Minivet","Pericrocotus roseus"
"ashcus3","Comoros Cuckooshrike","Coracina cucullata","Comoros Cuckooshrike","Ceblepyris cucullatus"
"ashcus2","Madagascar Cuckooshrike","Coracina cinerea","Madagascar Cuckooshrike","Ceblepyris cinereus"
"gracus1","Grauer's Cuckooshrike","Coracina graueri",NA,NA
"grycus1","Gray Cuckooshrike","Coracina caesia",NA,NA
"whbcus2","White-breasted Cuckooshrike","Coracina pectoralis","White-breasted Cuckooshrike","Ceblepyris pectoralis"
"stbcus1","Stout-billed Cuckooshrike","Coracina caeruleogrisea","Stout-billed Cuckooshrike","Coracina caeruleogrisea"
"hoocus1","Hooded Cuckooshrike","Coracina longicauda","Hooded Cuckooshrike","Coracina longicauda"
"piecus1","Pied Cuckooshrike","Coracina bicolor","Pied Cuckooshrike","Coracina bicolor"
"cercus1","Cerulean Cuckooshrike","Coracina temminckii","Cerulean Cuckooshrike","Coracina temminckii"
"grocus1","Ground Cuckooshrike","Coracina maxima","Ground Cuckooshrike","Coracina maxima"
"yeecus1","Barred Cuckooshrike","Coracina lineata","Barred Cuckooshrike","Coracina lineata"
"boycus1","Boyer's Cuckooshrike","Coracina boyeri","Boyer's Cuckooshrike","Coracina boyeri"
"bkfcus1","Black-faced Cuckooshrike","Coracina novaehollandiae","Black-faced Cuckooshrike","Coracina novaehollandiae"
"melcus3","North Melanesian Cuckooshrike","Coracina welchmani","North Melanesian Cuckooshrike","Coracina welchmani"
"whbcus1","White-bellied Cuckooshrike","Coracina papuensis","White-bellied Cuckooshrike","Coracina papuensis"
"molcus1","Moluccan Cuckooshrike","Coracina atriceps","Moluccan Cuckooshrike","Coracina atriceps"
"whbcus4","Manus Cuckooshrike","Coracina ingens",NA,NA
"melcus1","South Melanesian Cuckooshrike","Coracina caledonica","South Melanesian Cuckooshrike","Coracina caledonica"
"larcus1","Large Cuckooshrike","Coracina macei","Large Cuckooshrike","Coracina macei"
"babcus1","Bar-bellied Cuckooshrike","Coracina striata","Bar-bellied Cuckooshrike","Coracina striata"
"andcus1","Andaman Cuckooshrike","Coracina dobsoni","Andaman Cuckooshrike","Coracina dobsoni"
"suncus1","Sunda Cuckooshrike","Coracina larvata","Sunda Cuckooshrike","Coracina larvata"
"javcus1","Javan Cuckooshrike","Coracina javensis","Javan Cuckooshrike","Coracina javensis"
"walcus1","Wallacean Cuckooshrike","Coracina personata","Wallacean Cuckooshrike","Coracina personata"
"burcus1","Buru Cuckooshrike","Coracina fortis","Buru Cuckooshrike","Coracina fortis"
"whrcus1","White-rumped Cuckooshrike","Coracina leucopygia","White-rumped Cuckooshrike","Coracina leucopygia"
"slacus1","Slaty Cuckooshrike","Coracina schistacea","Slaty Cuckooshrike","Coracina schistacea"
"ghacus1","Ghana Cuckooshrike","Lobotos lobatus",NA,NA
"oricus1","Oriole Cuckooshrike","Lobotos oriolinus",NA,NA
"blkcus1","Black Cuckooshrike","Campephaga flava","Black Cuckooshrike","Campephaga flava"
"petcus1","Petit's Cuckooshrike","Campephaga petiti","Petit's Cuckooshrike","Campephaga petiti"
"rescus1","Red-shouldered Cuckooshrike","Campephaga phoenicea","Red-shouldered Cuckooshrike","Campephaga phoenicea"
"putcus1","Purple-throated Cuckooshrike","Campephaga quiscalina","Purple-throated Cuckooshrike","Campephaga quiscalina"
"golcus1","Golden Cuckooshrike","Campochaera sloetii","Golden Cuckooshrike","Campochaera sloetii"
"mcgcus1","McGregor's Cuckooshrike","Malindangia mcgregori","McGregor's Cuckooshrike","Malindangia mcgregori"
"poltri1","Polynesian Triller","Lalage maculosa","Polynesian Triller","Lalage maculosa"
"samtri1","Samoan Triller","Lalage sharpei","Samoan Triller","Lalage sharpei"
"lottri1","Long-tailed Triller","Lalage leucopyga","Long-tailed Triller","Lalage leucopyga"
"whwtri2","White-shouldered Triller","Lalage sueurii","White-shouldered Triller","Lalage sueurii"
"whwtri1","White-winged Triller","Lalage tricolor","White-winged Triller","Lalage tricolor"
"blbtri1","Black-browed Triller","Lalage atrovirens","Black-browed Triller","Lalage atrovirens"
"whbtri1","White-browed Triller","Lalage moesta","White-browed Triller","Lalage moesta"
"vartri1","Varied Triller","Lalage leucomela","Varied Triller","Lalage leucomela"
"vartri3","Mussau Triller","Lalage conjuncta",NA,NA
"bawtri1","Black-and-white Triller","Lalage melanoleuca","Black-and-white Triller","Lalage melanoleuca"
"whrtri1","White-rumped Triller","Lalage leucopygialis","White-rumped Triller","Lalage leucopygialis"
"pietri1","Pied Triller","Lalage nigra","Pied Triller","Lalage nigra"
"rubtri1","Rufous-bellied Triller","Lalage aurea","Rufous-bellied Triller","Lalage aurea"
"reucus1","Reunion Cuckooshrike","Lalage newtoni","Reunion Cuckooshrike","Lalage newtoni"
"maucus1","Mauritius Cuckooshrike","Lalage typica","Mauritius Cuckooshrike","Lalage typica"
"bkwcus1","Black-winged Cuckooshrike","Lalage melaschistos","Black-winged Cuckooshrike","Lalage melaschistos"
"bkhcus1","Black-headed Cuckooshrike","Lalage melanoptera","Black-headed Cuckooshrike","Lalage melanoptera"
"lescus1","Lesser Cuckooshrike","Lalage fimbriata","Lesser Cuckooshrike","Lalage fimbriata"
"indcus1","Indochinese Cuckooshrike","Lalage polioptera","Indochinese Cuckooshrike","Lalage polioptera"
"pygcus1","Pygmy Cuckooshrike","Celebesia abbotti","Pygmy Cuckooshrike","Celebesica abbotti"
"halcus1","Halmahera Cuckooshrike","Celebesia parvula","Halmahera Cuckooshrike","Edolisoma parvulum"
"blucus1","Blue Cuckooshrike","Cyanograucalus azureus","Blue Cuckooshrike","Cyanograucalus azureus"
"neccus1","New Caledonian Cuckooshrike","Analisoma analis","New Caledonian Cuckooshrike","Edolisoma anale"
"blacus1","Blackish Cuckooshrike","Analisoma coerulescens","Blackish Cuckooshrike","Edolisoma coerulescens"
"whwcus1","White-winged Cuckooshrike","Analisoma ostenta","White-winged Cuckooshrike","Edolisoma ostentum"
"bkbcus2","Black-bellied Cicadabird","Edolisoma montanum","Black-bellied Cuckooshrike","Edolisoma montanum"
"pagcus1","Pale Cicadabird","Edolisoma ceramense","Pale Cicadabird","Edolisoma ceramense"
"kaicus1","Kai Cicadabird","Edolisoma dispar","Kai Cicadabird","Edolisoma dispar"
"sumcus1","Pale-shouldered Cicadabird","Edolisoma dohertyi","Pale-shouldered Cicadabird","Edolisoma dohertyi"
"bkbcus1","Black-bibbed Cuckooshrike","Edolisoma mindanense","Black-bibbed Cicadabird","Edolisoma mindanense"
"mancic1","Manus Cicadabird","Edolisoma admiralitatis","Admiralty Cicadabird","Edolisoma admiralitatis"
"cicada7","Makira Cicadabird","Edolisoma salomonis","Makira Cicadabird","Edolisoma salomonis"
"soicus1","Solomons Cuckooshrike","Edolisoma holopolium","Solomons Cuckooshrike","Edolisoma holopolium"
"papcus1","Papuan Cicadabird","Edolisoma incertum","Black-shouldered Cicadabird","Edolisoma incertum"
"sulcus2","Sulawesi Cicadabird","Edolisoma morio","Sulawesi Cicadabird","Edolisoma morio"
"sulcus1","Sula Cicadabird","Edolisoma sula",NA,NA
"cicada1","Common Cicadabird","Edolisoma tenuirostre","Common Cicadabird","Edolisoma tenuirostre"
"gyhcus1","Gray-headed Cicadabird","Edolisoma schisticeps","Grey-headed Cuckooshrike","Edolisoma schisticeps"
"negcus1","Black Cicadabird","Edolisoma melas","Black Cicadabird","Edolisoma melas"
"whiteh1","Whitehead","Mohoua albicilla","Whitehead","Mohoua albicilla"
"yellow3","Yellowhead","Mohoua ochrocephala","Yellowhead","Mohoua ochrocephala"
"pipipi1","Pipipi","Mohoua novaeseelandiae","Pipipi","Mohoua novaeseelandiae"
"blksit1","Black Sittella","Daphoenositta miranda","Black Sittella","Daphoenositta miranda"
"varsit1","Papuan Sittella","Daphoenositta papuensis","Papuan Sittella","Daphoenositta papuensis"
"varsit8","Varied Sittella","Daphoenositta chrysoptera","Varied Sittella","Daphoenositta chrysoptera"
"papwhi1","Papuan Whipbird","Androphobus viridis","Papuan Whipbird","Androphobus viridis"
"easwhi1","Eastern Whipbird","Psophodes olivaceus","Eastern Whipbird","Psophodes olivaceus"
"weswhi1","Western Whipbird","Psophodes nigrogularis","Black-throated Whipbird","Psophodes nigrogularis"
"chiwed1","Chiming Wedgebill","Psophodes occidentalis","Chiming Wedgebill","Psophodes occidentalis"
"chiwed2","Chirruping Wedgebill","Psophodes cristatus","Chirruping Wedgebill","Psophodes cristatus"
"watplo1","Wattled Ploughbill","Eulacestoma nigropectus","Wattled Ploughbill","Eulacestoma nigropectus"
"crebel1","Crested Bellbird","Oreoica gutturalis","Crested Bellbird","Oreoica gutturalis"
"runwhi1","Rufous-naped Bellbird","Aleadryas rufinucha","Rufous-naped Bellbird","Aleadryas rufinucha"
"crepit1","Piping Bellbird","Ornorectes cristatus","Piping Bellbird","Ornorectes cristatus"
"crstit1","Crested Shrike-tit","Falcunculus frontatus","Crested Shriketit","Falcunculus frontatus"
"titber1","Tit Berrypecker","Oreocharis arfaki","Tit Berrypecker","Oreocharis arfaki"
"creber1","Crested Berrypecker","Paramythia montium","Crested Berrypecker","Paramythia montium"
"bhsbab1","Black-headed Shrike-Babbler","Pteruthius rufiventer","Black-headed Shrike-babbler","Pteruthius rufiventer"
"wbsbab2","Pied Shrike-Babbler","Pteruthius flaviscapis","Pied Shrike-babbler","Pteruthius flaviscapis"
"himshb1","Himalayan Shrike-Babbler","Pteruthius ripleyi","Himalayan Shrike-babbler","Pteruthius ripleyi"
"blyshb1","Blyth's Shrike-Babbler","Pteruthius aeralatus","Blyth's Shrike-babbler","Pteruthius aeralatus"
"dalshb1","Dalat Shrike-Babbler","Pteruthius annamensis","Dalat Shrike-babbler","Pteruthius annamensis"
"grsbab1","Green Shrike-Babbler","Pteruthius xanthochlorus","Green Shrike-babbler","Pteruthius xanthochlorus"
"besbab1","Black-eared Shrike-Babbler","Pteruthius melanotis","Black-eared Shrike-babbler","Pteruthius melanotis"
"cfsbab1","Trilling Shrike-Babbler","Pteruthius aenobarbus","Trilling Shrike-babbler","Pteruthius aenobarbus"
"clishb1","Clicking Shrike-Babbler","Pteruthius intermedius","Clicking Shrike-babbler","Pteruthius intermedius"
"whbyuh1","White-bellied Erpornis","Erpornis zantholeuca","White-bellied Erpornis","Erpornis zantholeuca"
"rubpep1","Rufous-browed Peppershrike","Cyclarhis gujanensis","Rufous-browed Peppershrike","Cyclarhis gujanensis"
"blbpep1","Black-billed Peppershrike","Cyclarhis nigrirostris","Black-billed Peppershrike","Cyclarhis nigrirostris"
"gyegre1","Gray-eyed Greenlet","Hylophilus amaurocephalus","Grey-eyed Greenlet","Hylophilus amaurocephalus"
"rucgre1","Rufous-crowned Greenlet","Hylophilus poicilotis","Rufous-crowned Greenlet","Hylophilus poicilotis"
"oligre1","Olivaceous Greenlet","Hylophilus olivaceus","Olivaceous Greenlet","Hylophilus olivaceus"
"ashgre1","Ashy-headed Greenlet","Hylophilus pectoralis","Ashy-headed Greenlet","Hylophilus pectoralis"
"scrgre1","Scrub Greenlet","Hylophilus flavipes","Scrub Greenlet","Hylophilus flavipes"
"gycgre1","Gray-chested Greenlet","Hylophilus semicinereus","Grey-chested Greenlet","Hylophilus semicinereus"
"brhgre1","Brown-headed Greenlet","Hylophilus brunneiceps","Brown-headed Greenlet","Hylophilus brunneiceps"
"lecgre2","Lemon-chested Greenlet","Hylophilus thoracicus","Lemon-chested Greenlet","Hylophilus thoracicus"
"cssvir1","Chestnut-sided Shrike-Vireo","Vireolanius melitophrys","Chestnut-sided Shrike-Vireo","Vireolanius melitophrys"
"grsvir1","Green Shrike-Vireo","Vireolanius pulchellus","Green Shrike-Vireo","Vireolanius pulchellus"
"ybsvir1","Yellow-browed Shrike-Vireo","Vireolanius eximius","Yellow-browed Shrike-Vireo","Vireolanius eximius"
"scsvir1","Slaty-capped Shrike-Vireo","Vireolanius leucotis","Slaty-capped Shrike-Vireo","Vireolanius leucotis"
"tacgre1","Tawny-crowned Greenlet","Tunchiornis ochraceiceps","Tawny-crowned Greenlet","Hylophilus ochraceiceps"
"lesgre1","Lesser Greenlet","Pachysylvia decurtata","Lesser Greenlet","Hylophilus decurtatus"
"ducgre1","Dusky-capped Greenlet","Pachysylvia hypoxantha","Dusky-capped Greenlet","Hylophilus hypoxanthus"
"bucgre1","Buff-cheeked Greenlet","Pachysylvia muscicapina","Buff-cheeked Greenlet","Hylophilus muscicapinus"
"gofgre1","Golden-fronted Greenlet","Pachysylvia aurantiifrons","Golden-fronted Greenlet","Hylophilus aurantiifrons"
"rungre1","Rufous-naped Greenlet","Pachysylvia semibrunnea","Rufous-naped Greenlet","Hylophilus semibrunneus"
"golvir1","Golden Vireo","Vireo hypochryseus","Golden Vireo","Vireo hypochryseus"
"blmvir1","Blue Mountain Vireo","Vireo osburni","Blue Mountain Vireo","Vireo osburni"
"slavir1","Slaty Vireo","Vireo brevipennis","Slaty Vireo","Vireo brevipennis"
"bkcvir1","Black-capped Vireo","Vireo atricapilla","Black-capped Vireo","Vireo atricapilla"
"dwavir1","Dwarf Vireo","Vireo nelsoni","Dwarf Vireo","Vireo nelsoni"
"whevir","White-eyed Vireo","Vireo griseus","White-eyed Vireo","Vireo griseus"
"thbvir","Thick-billed Vireo","Vireo crassirostris","Thick-billed Vireo","Vireo crassirostris"
"manvir1","Mangrove Vireo","Vireo pallens","Mangrove Vireo","Vireo pallens"
"cozvir1","Cozumel Vireo","Vireo bairdi","Cozumel Vireo","Vireo bairdi"
"stavir1","San Andres Vireo","Vireo caribaeus","San Andres Vireo","Vireo caribaeus"
"jamvir1","Jamaican Vireo","Vireo modestus","Jamaican Vireo","Vireo modestus"
"cubvir1","Cuban Vireo","Vireo gundlachii","Cuban Vireo","Vireo gundlachii"
"purvir1","Puerto Rican Vireo","Vireo latimeri","Puerto Rican Vireo","Vireo latimeri"
"flbvir1","Flat-billed Vireo","Vireo nanus","Flat-billed Vireo","Vireo nanus"
"belvir","Bell's Vireo","Vireo bellii","Bell's Vireo","Vireo bellii"
"gryvir","Gray Vireo","Vireo vicinior","Grey Vireo","Vireo vicinior"
"hutvir","Hutton's Vireo","Vireo huttoni","Hutton's Vireo","Vireo huttoni"
"yetvir","Yellow-throated Vireo","Vireo flavifrons","Yellow-throated Vireo","Vireo flavifrons"
"yewvir1","Yellow-winged Vireo","Vireo carmioli","Yellow-winged Vireo","Vireo carmioli"
"chovir1","Choco Vireo","Vireo masteri","Choco Vireo","Vireo masteri"
"casvir","Cassin's Vireo","Vireo cassinii","Cassin's Vireo","Vireo cassinii"
"buhvir","Blue-headed Vireo","Vireo solitarius","Blue-headed Vireo","Vireo solitarius"
"plsvir","Plumbeous Vireo","Vireo plumbeus","Plumbeous Vireo","Vireo plumbeus"
"tepgre1","Tepui Vireo","Vireo sclateri","Tepui Vireo","Vireo sclateri"
"phivir","Philadelphia Vireo","Vireo philadelphicus","Philadelphia Vireo","Vireo philadelphicus"
"warvir","Warbling Vireo","Vireo gilvus","Warbling Vireo","Vireo gilvus"
"brcvir1","Brown-capped Vireo","Vireo leucophrys","Brown-capped Vireo","Vireo leucophrys"
"reevir1","Red-eyed Vireo","Vireo olivaceus","Red-eyed Vireo","Vireo olivaceus"
"chivir1","Chivi Vireo","Vireo chivi","Chivi Vireo","Vireo chivi"
"norvir1","Noronha Vireo","Vireo gracilirostris","Noronha Vireo","Vireo gracilirostris"
"yegvir","Yellow-green Vireo","Vireo flavoviridis","Yellow-green Vireo","Vireo flavoviridis"
"bkwvir","Black-whiskered Vireo","Vireo altiloquus","Black-whiskered Vireo","Vireo altiloquus"
"yucvir","Yucatan Vireo","Vireo magister","Yucatan Vireo","Vireo magister"
"ruspit1","Rusty Pitohui","Pseudorectes ferrugineus","Rusty Pitohui","Pseudorectes ferrugineus"
"whbpit1","White-bellied Pitohui","Pseudorectes incertus","White-bellied Pitohui","Pseudorectes incertus"
"sansht2","Sandstone Shrikethrush","Colluricincla woodwardi","Sandstone Shrikethrush","Colluricincla woodwardi"
"bowsht1","Bower's Shrikethrush","Colluricincla boweri","Bower's Shrikethrush","Colluricincla boweri"
"grysht1","Gray Shrikethrush","Colluricincla harmonica","Grey Shrikethrush","Colluricincla harmonica"
"soosht1","Sooty Shrikethrush","Colluricincla tenebrosa",NA,NA
"rufsht1","Little Shrikethrush","Colluricincla megarhyncha","Arafura Shrikethrush","Colluricincla megarhyncha"
"blapit1","Black Pitohui","Melanorectes nigrescens","Black Pitohui","Melanorectes nigrescens"
"sansht1","Sangihe Whistler","Coracornis sanghirensis","Sangihe Shrikethrush","Coracornis sanghirensis"
"mabwhi1","Maroon-backed Whistler","Coracornis raveni","Maroon-backed Whistler","Coracornis raveni"
"oliwhi1","Olive Whistler","Pachycephala olivacea","Olive Whistler","Pachycephala olivacea"
"relwhi1","Red-lored Whistler","Pachycephala rufogularis","Red-lored Whistler","Pachycephala rufogularis"
"gilwhi1","Gilbert's Whistler","Pachycephala inornata","Gilbert's Whistler","Pachycephala inornata"
"batwhi1","Bare-throated Whistler","Pachycephala nudigula","Bare-throated Whistler","Pachycephala nudigula"
"fabwhi1","Fawn-breasted Whistler","Pachycephala orpheus","Fawn-breasted Whistler","Pachycephala orpheus"
"regwhi1","Regent Whistler","Pachycephala schlegelii","Regent Whistler","Pachycephala schlegelii"
"necwhi2","Vanuatu Whistler","Pachycephala chlorura","Melanesian Whistler","Pachycephala chlorura"
"vogwhi1","Vogelkop Whistler","Pachycephala meyeri","Vogelkop Whistler","Pachycephala meyeri"
"sclwhi1","Sclater's Whistler","Pachycephala soror","Sclater's Whistler","Pachycephala soror"
"fijwhi2","Fiji Whistler","Pachycephala vitiensis","Fiji Whistler","Pachycephala vitiensis"
"samwhi1","Samoan Whistler","Pachycephala flavifrons","Samoan Whistler","Pachycephala flavifrons"
"tonwhi1","Tongan Whistler","Pachycephala jacquinoti","Tongan Whistler","Pachycephala jacquinoti"
"necwhi3","New Caledonian Whistler","Pachycephala caledonica","New Caledonian Whistler","Pachycephala caledonica"
"guhwhi1","Guadalcanal Hooded Whistler","Pachycephala implicata","Hooded Whistler","Pachycephala implicata"
"bohwhi1","Bougainville Hooded Whistler","Pachycephala richardsi","Bougainville Whistler","Pachycephala richardsi"
"biswhi1","Bismarck Whistler","Pachycephala citreogaster","Bismarck Whistler","Pachycephala citreogaster"
"louwhi1","Louisiade Whistler","Pachycephala collaris","Louisiade Whistler","Pachycephala collaris"
"temwhi1","Temotu Whistler","Pachycephala vanikorensis","Temotu Whistler","Pachycephala vanikorensis"
"oriwhi1","Oriole Whistler","Pachycephala orioloides","Oriole Whistler","Pachycephala orioloides"
"renwhi1","Rennell Whistler","Pachycephala feminina","Rennell Whistler","Pachycephala feminina"
"rubwhi1","Rusty-breasted Whistler","Pachycephala fulvotincta","Rusty-breasted Whistler","Pachycephala fulvotincta"
"yetwhi1","Yellow-throated Whistler","Pachycephala macrorhyncha","Yellow-throated Whistler","Pachycephala macrorhyncha"
"bkcwhi1","Black-chinned Whistler","Pachycephala mentalis","Black-chinned Whistler","Pachycephala mentalis"
"golwhi2","Baliem Whistler","Pachycephala balim","Baliem Whistler","Pachycephala balim"
"golwhi1","Golden Whistler","Pachycephala pectoralis","Australian Golden Whistler","Pachycephala pectoralis"
"weswhi2","Western Whistler","Pachycephala occidentalis","Western Whistler","Pachycephala occidentalis"
"bltwhi1","Black-tailed Whistler","Pachycephala melanura","Mangrove Golden Whistler","Pachycephala melanura"
"mornin1","Morningbird","Pachycephala tenebrosa","Morningbird","Pachycephala tenebrosa"
"brbwhi1","Brown-backed Whistler","Pachycephala modesta","Brown-backed Whistler","Pachycephala modesta"
"lorwhi1","Lorentz's Whistler","Pachycephala lorentzi","Lorentz's Whistler","Pachycephala lorentzi"
"gobwhi1","Golden-backed Whistler","Pachycephala aurea","Golden-backed Whistler","Pachycephala aurea"
"yebwhi1","Yellow-bellied Whistler","Pachycephala philippinensis","Yellow-bellied Whistler","Pachycephala philippinensis"
"borwhi1","Bornean Whistler","Pachycephala hypoxantha","Bornean Whistler","Pachycephala hypoxantha"
"subwhi1","Sulphur-bellied Whistler","Pachycephala sulfuriventer","Sulphur-vented Whistler","Pachycephala sulfuriventer"
"manwhi1","Mangrove Whistler","Pachycephala cinerea","Mangrove Whistler","Pachycephala cinerea"
"grbwhi1","Green-backed Whistler","Pachycephala albiventris","Green-backed Whistler","Pachycephala albiventris"
"whvwhi1","White-vented Whistler","Pachycephala homeyeri","White-vented Whistler","Pachycephala homeyeri"
"islwhi2","Island Whistler","Pachycephala phaionota",NA,NA
"biawhi1","Biak Whistler","Pachycephala melanorhyncha","Biak Whistler","Pachycephala melanorhyncha"
"ruswhi1","Rusty Whistler","Pachycephala hyperythra","Rusty Whistler","Pachycephala hyperythra"
"grywhi2","Gray Whistler","Pachycephala simplex","Grey Whistler","Pachycephala simplex"
"walwhi1","Wallacean Whistler","Pachycephala arctitorquis","Wallacean Whistler","Pachycephala arctitorquis"
"drawhi1","Drab Whistler","Pachycephala griseonota","Drab Whistler","Pachycephala griseonota"
"whbwhi1","White-bellied Whistler","Pachycephala leucogastra","White-bellied Whistler","Pachycephala leucogastra"
"blhwhi1","Black-headed Whistler","Pachycephala monacha","Black-headed Whistler","Pachycephala monacha"
"rufwhi1","Rufous Whistler","Pachycephala rufiventris","Rufous Whistler","Pachycephala rufiventris"
"whbwhi2","White-breasted Whistler","Pachycephala lanioides","White-breasted Whistler","Pachycephala lanioides"
"hoopit1","Hooded Pitohui","Pitohui dichrous","Hooded Pitohui","Pitohui dichrous"
"varpit4","Raja Ampat Pitohui","Pitohui cerviniventris","Raja Ampat Pitohui","Pitohui cerviniventris"
"varpit2","Northern Variable Pitohui","Pitohui kirhocephalus","Northern Variable Pitohui","Pitohui kirhocephalus"
"varpit3","Southern Variable Pitohui","Pitohui uropygialis","Southern Variable Pitohui","Pitohui uropygialis"
"timori1","Timor Oriole","Oriolus melanotis","Olive-brown Oriole","Oriolus melanotis"
"burori2","Buru Oriole","Oriolus bouroensis","Black-eared Oriole","Oriolus bouroensis"
"burori3","Tanimbar Oriole","Oriolus decipiens","Tanimbar Oriole","Oriolus decipiens"
"serori1","Seram Oriole","Oriolus forsteni","Grey-collared Oriole","Oriolus forsteni"
"halori1","Halmahera Oriole","Oriolus phaeochromus","Dusky-brown Oriole","Oriolus phaeochromus"
"broori1","Brown Oriole","Oriolus szalayi","Brown Oriole","Oriolus szalayi"
"olbori1","Olive-backed Oriole","Oriolus sagittatus","Olive-backed Oriole","Oriolus sagittatus"
"greori1","Green Oriole","Oriolus flavocinctus","Green Oriole","Oriolus flavocinctus"
"datori1","Dark-throated Oriole","Oriolus xanthonotus","Dark-throated Oriole","Oriolus xanthonotus"
"whlori1","White-lored Oriole","Oriolus albiloris","White-lored Oriole","Oriolus albiloris"
"phiori1","Philippine Oriole","Oriolus steerii","Philippine Oriole","Oriolus steerii"
"isaori1","Isabela Oriole","Oriolus isabellae","Isabela Oriole","Oriolus isabellae"
"eugori2","Eurasian Golden Oriole","Oriolus oriolus","Eurasian Golden Oriole","Oriolus oriolus"
"ingori1","Indian Golden Oriole","Oriolus kundoo","Indian Golden Oriole","Oriolus kundoo"
"afgori2","African Golden Oriole","Oriolus auratus","African Golden Oriole","Oriolus auratus"
"blnori1","Black-naped Oriole","Oriolus chinensis","Black-naped Oriole","Oriolus chinensis"
"slbori1","Slender-billed Oriole","Oriolus tenuirostris","Slender-billed Oriole","Oriolus tenuirostris"
"grhori1","Green-headed Oriole","Oriolus chlorocephalus","Green-headed Oriole","Oriolus chlorocephalus"
"satori1","Sao Tome Oriole","Oriolus crassirostris","Sao Tome Oriole","Oriolus crassirostris"
"wbhori1","Western Black-headed Oriole","Oriolus brachyrynchus","Western Oriole","Oriolus brachyrynchus"
"dahori1","Ethiopian Black-headed Oriole","Oriolus monacha","Ethiopian Oriole","Oriolus monacha"
"abhori1","African Black-headed Oriole","Oriolus larvatus","Black-headed Oriole","Oriolus larvatus"
"bltori1","Black-tailed Oriole","Oriolus percivali","Mountain Oriole","Oriolus percivali"
"blwori1","Black-winged Oriole","Oriolus nigripennis","Black-winged Oriole","Oriolus nigripennis"
"blhori1","Black-hooded Oriole","Oriolus xanthornus","Black-hooded Oriole","Oriolus xanthornus"
"blaori1","Black Oriole","Oriolus hosii","Black Oriole","Oriolus hosii"
"bacori1","Black-and-crimson Oriole","Oriolus cruentus","Black-and-crimson Oriole","Oriolus cruentus"
"marori2","Maroon Oriole","Oriolus traillii","Maroon Oriole","Oriolus traillii"
"silori1","Silver Oriole","Oriolus mellianus","Silver Oriole","Oriolus mellianus"
"wetfig1","Wetar Figbird","Sphecotheres hypoleucus","Wetar Figbird","Sphecotheres hypoleucus"
"grnfig1","Green Figbird","Sphecotheres viridis","Green Figbird","Sphecotheres viridis"
"ausfig1","Australasian Figbird","Sphecotheres vieilloti","Australasian Figbird","Sphecotheres vieilloti"
"noipio1","North Island Piopio","Turnagra tanagra",NA,NA
"soipio1","South Island Piopio","Turnagra capensis",NA,NA
"blbboa1","Black-breasted Boatbill","Machaerirhynchus nigripectus","Black-breasted Boatbill","Machaerirhynchus nigripectus"
